Measurement date,Measurement time,Site,Instrument,UV Total Index,Level,Data Quality
12/02/2022,16:30:00,Reading,DM150,0.1,R,G
12/02/2022,16:00:00,Reading,DM150,0.1,R,G
12/02/2022,15:30:00,Reading,DM150,0.2,R,G
12/02/2022,15:00:00,Reading,DM150,0.4,R,G
12/02/2022,14:30:00,Reading,DM150,0.5,R,G
12/02/2022,14:00:00,Reading,DM150,0.8,R,G
12/02/2022,13:30:00,Reading,DM150,0.8,R,G
12/02/2022,13:00:00,Reading,DM150,0.9,R,G
12/02/2022,12:30:00,Reading,DM150,0.9,R,G
12/02/2022,12:00:00,Reading,DM150,0.9,R,G
12/02/2022,11:30:00,Reading,DM150,0.7,R,G
12/02/2022,11:00:00,Reading,DM150,0.7,R,G
12/02/2022,10:30:00,Reading,DM150,0.6,R,G
12/02/2022,10:00:00,Reading,DM150,0.4,R,G
12/02/2022,09:30:00,Reading,DM150,0.3,R,G
12/02/2022,09:00:00,Reading,DM150,0.2,R,G
12/02/2022,08:30:00,Reading,DM150,0.1,R,G
11/02/2022,16:30:00,Reading,DM150,0.1,R,G
11/02/2022,16:00:00,Reading,DM150,0.1,R,G
11/02/2022,15:30:00,Reading,DM150,0.3,R,G
11/02/2022,15:00:00,Reading,DM150,0.4,R,G
11/02/2022,14:30:00,Reading,DM150,0.5,R,G
11/02/2022,14:00:00,Reading,DM150,0.7,R,G
11/02/2022,13:30:00,Reading,DM150,0.8,R,G
11/02/2022,13:00:00,Reading,DM150,0.9,R,G
11/02/2022,12:30:00,Reading,DM150,0.9,R,G
11/02/2022,12:00:00,Reading,DM150,1.1,R,G
11/02/2022,11:30:00,Reading,DM150,1.1,R,G
11/02/2022,11:00:00,Reading,DM150,0.9,R,G
11/02/2022,10:30:00,Reading,DM150,0.8,R,M
11/02/2022,10:00:00,Reading,DM150,0.6,R,G
11/02/2022,09:30:00,Reading,DM150,0.4,R,M
11/02/2022,09:00:00,Reading,DM150,0.3,R,G
11/02/2022,08:30:00,Reading,DM150,0.1,R,G
10/02/2022,16:30:00,Reading,DM150,0.1,R,G
10/02/2022,16:00:00,Reading,DM150,0.2,R,G
10/02/2022,15:30:00,Reading,DM150,0.3,R,G
10/02/2022,15:00:00,Reading,DM150,0.4,R,G
10/02/2022,14:30:00,Reading,DM150,0.5,R,G
10/02/2022,14:00:00,Reading,DM150,0.6,R,G
10/02/2022,13:30:00,Reading,DM150,0.5,R,G
10/02/2022,13:00:00,Reading,DM150,0.6,R,G
10/02/2022,12:30:00,Reading,DM150,0.6,R,G
10/02/2022,12:00:00,Reading,DM150,0.7,R,G
10/02/2022,11:30:00,Reading,DM150,0.8,R,G
10/02/2022,11:00:00,Reading,DM150,0.7,R,G
10/02/2022,10:30:00,Reading,DM150,0.5,R,G
10/02/2022,10:00:00,Reading,DM150,0.4,R,G
10/02/2022,09:30:00,Reading,DM150,0.3,R,G
10/02/2022,09:00:00,Reading,DM150,0.1,R,G
10/02/2022,08:30:00,Reading,DM150,0.1,R,G
09/02/2022,16:30:00,Reading,DM150,0,R,G
09/02/2022,16:00:00,Reading,DM150,0,R,G
09/02/2022,15:30:00,Reading,DM150,0.1,R,G
09/02/2022,15:00:00,Reading,DM150,0.1,R,G
09/02/2022,14:30:00,Reading,DM150,0.2,R,G
09/02/2022,14:00:00,Reading,DM150,0.3,R,G
09/02/2022,13:30:00,Reading,DM150,0.2,R,G
09/02/2022,13:00:00,Reading,DM150,0.5,R,G
09/02/2022,12:30:00,Reading,DM150,0.9,R,M
09/02/2022,12:00:00,Reading,DM150,1.2,R,G
09/02/2022,11:30:00,Reading,DM150,1.1,R,G
09/02/2022,11:00:00,Reading,DM150,0.6,R,G
09/02/2022,10:30:00,Reading,DM150,0.6,R,G
09/02/2022,10:00:00,Reading,DM150,0.5,R,G
09/02/2022,09:30:00,Reading,DM150,0.4,R,G
09/02/2022,08:30:00,Reading,DM150,0.1,R,G
08/02/2022,16:30:00,Reading,DM150,0,R,G
08/02/2022,16:00:00,Reading,DM150,0.1,R,G
08/02/2022,15:30:00,Reading,DM150,0.1,R,G
08/02/2022,15:00:00,Reading,DM150,0.2,R,G
08/02/2022,14:30:00,Reading,DM150,0.3,R,G
08/02/2022,14:00:00,Reading,DM150,0.3,R,G
08/02/2022,13:30:00,Reading,DM150,0.4,R,G
08/02/2022,13:00:00,Reading,DM150,0.6,R,G
08/02/2022,12:30:00,Reading,DM150,0.5,R,G
08/02/2022,12:00:00,Reading,DM150,0.5,R,G
08/02/2022,11:30:00,Reading,DM150,0.5,R,G
08/02/2022,11:00:00,Reading,DM150,0.4,R,G
08/02/2022,10:30:00,Reading,DM150,0.4,R,G
08/02/2022,10:00:00,Reading,DM150,0.4,R,G
08/02/2022,09:30:00,Reading,DM150,0.2,R,G
08/02/2022,09:00:00,Reading,DM150,0.1,R,G
08/02/2022,08:30:00,Reading,DM150,0.1,R,G
07/02/2022,16:30:00,Reading,DM150,0,R,P
07/02/2022,16:00:00,Reading,DM150,0.1,R,G
07/02/2022,15:30:00,Reading,DM150,0.2,R,G
07/02/2022,15:00:00,Reading,DM150,0.3,R,G
07/02/2022,14:30:00,Reading,DM150,0.2,R,G
07/02/2022,14:00:00,Reading,DM150,0.4,R,G
07/02/2022,13:30:00,Reading,DM150,0.5,R,G
07/02/2022,13:00:00,Reading,DM150,0.6,R,G
07/02/2022,12:30:00,Reading,DM150,0.8,R,G
07/02/2022,12:00:00,Reading,DM150,0.8,R,G
07/02/2022,11:30:00,Reading,DM150,0.7,R,G
07/02/2022,11:00:00,Reading,DM150,0.8,R,G
07/02/2022,10:30:00,Reading,DM150,0.7,R,G
07/02/2022,10:00:00,Reading,DM150,0.5,R,G
07/02/2022,09:30:00,Reading,DM150,0.4,R,G
07/02/2022,09:00:00,Reading,DM150,0.2,R,G
07/02/2022,08:30:00,Reading,DM150,0.1,R,G
06/02/2022,16:30:00,Reading,DM150,0.1,R,P
06/02/2022,16:00:00,Reading,DM150,0.1,R,G
06/02/2022,15:30:00,Reading,DM150,0.2,R,G
06/02/2022,15:00:00,Reading,DM150,0.2,R,G
06/02/2022,14:30:00,Reading,DM150,0.3,R,G
06/02/2022,14:00:00,Reading,DM150,0.5,R,G
06/02/2022,13:30:00,Reading,DM150,0.8,R,G
06/02/2022,13:00:00,Reading,DM150,0.9,R,P
06/02/2022,12:30:00,Reading,DM150,0.8,R,G
06/02/2022,12:00:00,Reading,DM150,1,R,M
06/02/2022,11:30:00,Reading,DM150,0.6,R,G
06/02/2022,10:30:00,Reading,DM150,0.6,R,G
06/02/2022,10:00:00,Reading,DM150,0.4,R,G
06/02/2022,09:30:00,Reading,DM150,0.1,R,G
06/02/2022,09:00:00,Reading,DM150,0.2,R,G
06/02/2022,08:30:00,Reading,DM150,0.1,R,G
05/02/2022,16:30:00,Reading,DM150,0,R,P
05/02/2022,16:00:00,Reading,DM150,0,R,G
05/02/2022,15:30:00,Reading,DM150,0.2,R,G
05/02/2022,15:00:00,Reading,DM150,0.3,R,G
05/02/2022,14:30:00,Reading,DM150,0.5,R,G
05/02/2022,13:30:00,Reading,DM150,0.7,R,G
05/02/2022,13:00:00,Reading,DM150,0.7,R,G
05/02/2022,12:30:00,Reading,DM150,0.8,R,G
05/02/2022,12:00:00,Reading,DM150,1,R,G
05/02/2022,11:30:00,Reading,DM150,0.9,R,G
05/02/2022,11:00:00,Reading,DM150,0.8,R,G
05/02/2022,10:30:00,Reading,DM150,0.6,R,G
05/02/2022,10:00:00,Reading,DM150,0.4,R,G
05/02/2022,09:30:00,Reading,DM150,0.3,R,G
05/02/2022,09:00:00,Reading,DM150,0.2,R,G
05/02/2022,08:30:00,Reading,DM150,0.1,R,G
04/02/2022,16:30:00,Reading,DM150,0,R,P
04/02/2022,16:00:00,Reading,DM150,0.1,R,G
04/02/2022,15:30:00,Reading,DM150,0.2,R,G
04/02/2022,15:00:00,Reading,DM150,0.3,R,G
04/02/2022,14:30:00,Reading,DM150,0.5,R,G
04/02/2022,14:00:00,Reading,DM150,0.6,R,G
04/02/2022,13:30:00,Reading,DM150,0.6,R,G
04/02/2022,13:00:00,Reading,DM150,0.9,R,G
04/02/2022,12:30:00,Reading,DM150,1,R,M
04/02/2022,12:00:00,Reading,DM150,1,R,M
04/02/2022,11:30:00,Reading,DM150,0.9,R,G
04/02/2022,11:00:00,Reading,DM150,0.7,R,G
04/02/2022,10:30:00,Reading,DM150,0.4,R,G
04/02/2022,10:00:00,Reading,DM150,0.1,R,G
04/02/2022,09:30:00,Reading,DM150,0.1,R,G
04/02/2022,09:00:00,Reading,DM150,0,R,G
04/02/2022,08:30:00,Reading,DM150,0,R,G
03/02/2022,16:30:00,Reading,DM150,0,R,P
03/02/2022,16:00:00,Reading,DM150,0.1,R,G
03/02/2022,15:30:00,Reading,DM150,0.1,R,G
03/02/2022,15:00:00,Reading,DM150,0.1,R,G
03/02/2022,14:30:00,Reading,DM150,0.2,R,G
03/02/2022,14:00:00,Reading,DM150,0.3,R,G
03/02/2022,13:30:00,Reading,DM150,0.4,R,G
03/02/2022,13:00:00,Reading,DM150,0.6,R,G
03/02/2022,12:30:00,Reading,DM150,0.2,R,G
03/02/2022,12:00:00,Reading,DM150,0.4,R,G
03/02/2022,11:30:00,Reading,DM150,0.7,R,G
03/02/2022,11:00:00,Reading,DM150,0.5,R,G
03/02/2022,10:30:00,Reading,DM150,0.5,R,M
03/02/2022,10:00:00,Reading,DM150,0.5,R,G
03/02/2022,09:30:00,Reading,DM150,0.3,R,G
03/02/2022,09:00:00,Reading,DM150,0.2,R,G
03/02/2022,08:30:00,Reading,DM150,0.1,R,G
02/02/2022,16:30:00,Reading,DM150,0,R,P
02/02/2022,16:00:00,Reading,DM150,0.1,R,G
02/02/2022,15:30:00,Reading,DM150,0.2,R,G
02/02/2022,15:00:00,Reading,DM150,0.3,R,G
02/02/2022,14:30:00,Reading,DM150,0.3,R,G
02/02/2022,14:00:00,Reading,DM150,0.6,R,G
02/02/2022,13:30:00,Reading,DM150,0.6,R,G
02/02/2022,13:00:00,Reading,DM150,0.7,R,G
02/02/2022,12:30:00,Reading,DM150,0.6,R,G
02/02/2022,12:00:00,Reading,DM150,0.9,R,G
02/02/2022,11:30:00,Reading,DM150,0.9,R,G
02/02/2022,11:00:00,Reading,DM150,0.7,R,G
02/02/2022,10:30:00,Reading,DM150,0.4,R,G
02/02/2022,10:00:00,Reading,DM150,0.4,R,G
02/02/2022,09:30:00,Reading,DM150,0.3,R,G
02/02/2022,09:00:00,Reading,DM150,0.2,R,G
02/02/2022,08:30:00,Reading,DM150,0.1,R,G
01/02/2022,16:30:00,Reading,DM150,0,R,P
01/02/2022,16:00:00,Reading,DM150,0.1,R,G
01/02/2022,15:30:00,Reading,DM150,0.2,R,G
01/02/2022,15:00:00,Reading,DM150,0.3,R,G
01/02/2022,14:30:00,Reading,DM150,0.6,R,G
01/02/2022,14:00:00,Reading,DM150,0.8,R,G
01/02/2022,13:30:00,Reading,DM150,0.8,R,M
01/02/2022,13:00:00,Reading,DM150,1.1,R,M
01/02/2022,12:30:00,Reading,DM150,1.1,R,G
01/02/2022,12:00:00,Reading,DM150,1.2,R,G
01/02/2022,11:30:00,Reading,DM150,1.1,R,M
01/02/2022,11:00:00,Reading,DM150,0.9,R,G
01/02/2022,10:30:00,Reading,DM150,0.8,R,G
01/02/2022,10:00:00,Reading,DM150,0.5,R,G
01/02/2022,09:30:00,Reading,DM150,0.4,R,G
01/02/2022,09:00:00,Reading,DM150,0.2,R,G
01/02/2022,08:30:00,Reading,DM150,0.1,R,G
31/01/2022,16:30:00,Reading,DM150,0,R,P
31/01/2022,16:00:00,Reading,DM150,0,R,G
31/01/2022,15:30:00,Reading,DM150,0.1,R,G
31/01/2022,15:00:00,Reading,DM150,0.3,R,G
31/01/2022,14:30:00,Reading,DM150,0.5,R,G
31/01/2022,14:00:00,Reading,DM150,0.7,R,G
31/01/2022,13:30:00,Reading,DM150,0.8,R,G
31/01/2022,13:00:00,Reading,DM150,0.8,R,G
31/01/2022,12:30:00,Reading,DM150,1,R,G
31/01/2022,12:00:00,Reading,DM150,1,R,G
31/01/2022,11:30:00,Reading,DM150,0.9,R,G
31/01/2022,11:00:00,Reading,DM150,0.8,R,G
31/01/2022,10:30:00,Reading,DM150,0.2,R,G
31/01/2022,10:00:00,Reading,DM150,0.3,R,G
31/01/2022,09:30:00,Reading,DM150,0.2,R,G
31/01/2022,09:00:00,Reading,DM150,0.1,R,G
31/01/2022,08:30:00,Reading,DM150,0,R,G
30/01/2022,16:30:00,Reading,DM150,0,R,P
30/01/2022,16:00:00,Reading,DM150,0.1,R,G
30/01/2022,15:30:00,Reading,DM150,0.1,R,G
30/01/2022,15:00:00,Reading,DM150,0.2,R,G
30/01/2022,14:30:00,Reading,DM150,0.3,R,G
30/01/2022,14:00:00,Reading,DM150,0.5,R,G
30/01/2022,13:30:00,Reading,DM150,0.7,R,G
30/01/2022,13:00:00,Reading,DM150,0.8,R,G
30/01/2022,12:30:00,Reading,DM150,0.9,R,G
30/01/2022,12:00:00,Reading,DM150,0.9,R,G
30/01/2022,11:30:00,Reading,DM150,0.8,R,G
30/01/2022,11:00:00,Reading,DM150,0.7,R,G
30/01/2022,10:30:00,Reading,DM150,0.6,R,G
30/01/2022,10:00:00,Reading,DM150,0.4,R,G
30/01/2022,09:30:00,Reading,DM150,0.3,R,G
30/01/2022,09:00:00,Reading,DM150,0.2,R,G
30/01/2022,08:30:00,Reading,DM150,0.1,R,G
29/01/2022,16:30:00,Reading,DM150,0,R,P
29/01/2022,16:00:00,Reading,DM150,0.1,R,G
29/01/2022,15:30:00,Reading,DM150,0.2,R,G
29/01/2022,15:00:00,Reading,DM150,0.2,R,G
29/01/2022,14:30:00,Reading,DM150,0.3,R,G
29/01/2022,14:00:00,Reading,DM150,0.5,R,G
29/01/2022,13:30:00,Reading,DM150,0.6,R,G
29/01/2022,13:00:00,Reading,DM150,0.4,R,G
29/01/2022,12:30:00,Reading,DM150,0.8,R,M
29/01/2022,12:00:00,Reading,DM150,0.9,R,M
29/01/2022,11:30:00,Reading,DM150,0.8,R,G
29/01/2022,11:00:00,Reading,DM150,0.7,R,P
29/01/2022,10:30:00,Reading,DM150,0.6,R,M
29/01/2022,10:00:00,Reading,DM150,0.5,R,G
29/01/2022,09:30:00,Reading,DM150,0.3,R,G
29/01/2022,09:00:00,Reading,DM150,0.2,R,G
29/01/2022,08:30:00,Reading,DM150,0.1,R,G
28/01/2022,16:00:00,Reading,DM150,0.1,R,G
28/01/2022,15:30:00,Reading,DM150,0.2,R,G
28/01/2022,15:00:00,Reading,DM150,0.2,R,G
28/01/2022,14:30:00,Reading,DM150,0.4,R,G
28/01/2022,14:00:00,Reading,DM150,0.6,R,G
28/01/2022,13:30:00,Reading,DM150,0.6,R,G
28/01/2022,13:00:00,Reading,DM150,0.7,R,G
28/01/2022,12:30:00,Reading,DM150,0.7,R,G
28/01/2022,12:00:00,Reading,DM150,0.8,R,G
28/01/2022,11:30:00,Reading,DM150,0.8,R,G
28/01/2022,11:00:00,Reading,DM150,0.7,R,G
28/01/2022,10:30:00,Reading,DM150,0.5,R,G
28/01/2022,10:00:00,Reading,DM150,0.4,R,G
28/01/2022,09:30:00,Reading,DM150,0.3,R,G
28/01/2022,09:00:00,Reading,DM150,0.2,R,G
28/01/2022,08:30:00,Reading,DM150,0.1,R,G
27/01/2022,16:00:00,Reading,DM150,0.1,R,G
27/01/2022,15:30:00,Reading,DM150,0.2,R,G
27/01/2022,15:00:00,Reading,DM150,0.3,R,G
27/01/2022,14:30:00,Reading,DM150,0.3,R,G
27/01/2022,14:00:00,Reading,DM150,0.5,R,G
27/01/2022,13:30:00,Reading,DM150,0.4,R,G
27/01/2022,13:00:00,Reading,DM150,0.3,R,G
27/01/2022,12:30:00,Reading,DM150,0.4,R,G
27/01/2022,12:00:00,Reading,DM150,0.6,R,G
27/01/2022,11:30:00,Reading,DM150,0.2,R,G
27/01/2022,11:00:00,Reading,DM150,0.3,R,G
27/01/2022,10:30:00,Reading,DM150,0.2,R,G
27/01/2022,10:00:00,Reading,DM150,0.1,R,G
27/01/2022,09:30:00,Reading,DM150,0.1,R,G
27/01/2022,09:00:00,Reading,DM150,0.1,R,G
27/01/2022,08:30:00,Reading,DM150,0,R,G
26/01/2022,16:00:00,Reading,DM150,0,R,G
26/01/2022,15:30:00,Reading,DM150,0.1,R,G
26/01/2022,15:00:00,Reading,DM150,0.2,R,G
26/01/2022,14:30:00,Reading,DM150,0.3,R,G
26/01/2022,14:00:00,Reading,DM150,0.4,R,M
26/01/2022,13:30:00,Reading,DM150,0.6,R,G
26/01/2022,13:00:00,Reading,DM150,0.7,R,G
26/01/2022,12:30:00,Reading,DM150,0.5,R,G
26/01/2022,12:00:00,Reading,DM150,0.5,R,G
26/01/2022,11:30:00,Reading,DM150,0.5,R,G
26/01/2022,11:00:00,Reading,DM150,0.4,R,G
26/01/2022,10:30:00,Reading,DM150,0.4,R,G
26/01/2022,10:00:00,Reading,DM150,0.3,R,G
26/01/2022,09:30:00,Reading,DM150,0.2,R,G
26/01/2022,09:00:00,Reading,DM150,0.1,R,G
25/01/2022,16:00:00,Reading,DM150,0,R,G
25/01/2022,15:30:00,Reading,DM150,0,R,G
25/01/2022,15:00:00,Reading,DM150,0.1,R,G
25/01/2022,14:30:00,Reading,DM150,0.1,R,G
25/01/2022,14:00:00,Reading,DM150,0.1,R,G
25/01/2022,13:30:00,Reading,DM150,0.1,R,G
25/01/2022,13:00:00,Reading,DM150,0.2,R,G
25/01/2022,12:30:00,Reading,DM150,0.2,R,G
25/01/2022,12:00:00,Reading,DM150,0.2,R,G
25/01/2022,11:30:00,Reading,DM150,0.2,R,G
25/01/2022,11:00:00,Reading,DM150,0.1,R,M
25/01/2022,10:30:00,Reading,DM150,0.1,R,G
25/01/2022,10:00:00,Reading,DM150,0.1,R,G
25/01/2022,09:30:00,Reading,DM150,0.1,R,G
25/01/2022,09:00:00,Reading,DM150,0,R,G
24/01/2022,16:00:00,Reading,DM150,0,R,G
24/01/2022,15:30:00,Reading,DM150,0,R,G
24/01/2022,15:00:00,Reading,DM150,0.1,R,G
24/01/2022,14:30:00,Reading,DM150,0.1,R,G
24/01/2022,14:00:00,Reading,DM150,0.1,R,G
24/01/2022,13:30:00,Reading,DM150,0.2,R,G
24/01/2022,13:00:00,Reading,DM150,0.2,R,G
24/01/2022,12:30:00,Reading,DM150,0.2,R,G
24/01/2022,12:00:00,Reading,DM150,0.2,R,G
24/01/2022,11:30:00,Reading,DM150,0.2,R,G
24/01/2022,11:00:00,Reading,DM150,0.2,R,G
24/01/2022,10:30:00,Reading,DM150,0.1,R,G
24/01/2022,10:00:00,Reading,DM150,0.1,R,G
24/01/2022,09:30:00,Reading,DM150,0.1,R,G
24/01/2022,09:00:00,Reading,DM150,0,R,G
